std_dev_out_c,std_dev_in_c,avg_out_c,avg_in_c,in_pack_num_c,out_pack_num_c,in_pack_ratio_c,out_pack_ratio_c,total_pack_num_c,total_pack_sum_c,in_pack_sum_c,out_pack_sum_c,sum_med_c,std_dev_med_c,avg_med_c,sum_burst_med_c,avg_burst_med_c,std_burst_med_c,in_num_30_c,out_num_30_c,in_sum_30_c,out_sum_30_c,total_sum_pack_per_sec_c,total_num_pack_per_sec_c
9885.813,844.963,-11500.731,842.323,153,2089,0.068,0.932,2242,-991232,78336,-1069568,1461.335,2.154,7.857,152484.335,819.808,542.417,0.3,0.733,-0.692,1.692,-51.453,0.116
9445.723,665.036,-10340.392,707.765,141,2060,0.064,0.936,2201,-982528,72192,-1054720,1473.025,2.729,7.221,181017.2,887.339,683.982,0.267,0.767,-0.533,1.533,-55.047,0.123
9819.466,1175.373,-10579.349,851.349,429,5331,0.074,0.926,5760,-2509824,219648,-2729472,2257.635,1.971,4.375,729151.855,1413.085,1223.041,0.3,0.733,-0.692,1.692,-99.173,0.228
9336.609,1077.918,-10991.213,879.213,419,5238,0.074,0.926,5657,-2467328,214528,-2681856,4160.31,3.307,8.525,1238453.04,2537.814,2058.271,0.3,0.733,-0.692,1.692,-51.112,0.117
8909.033,1234.847,-9951.522,867.343,454,5209,0.08,0.92,5663,-2434560,232448,-2667008,3032.67,2.14,5.658,986907.925,1841.246,1474.781,0.3,0.733,-0.692,1.692,-77.898,0.181
10200.304,925.835,-10620.282,862.539,406,4999,0.075,0.925,5405,-2351616,207872,-2559488,3728.135,2.444,7.735,1057066.62,2193.084,1687.605,0.267,0.767,-0.533,1.533,-57.001,0.131
9434.799,1102.882,-11232.0,819.2,384,5265,0.068,0.932,5649,-2499072,196608,-2695680,3498.505,1.969,7.289,963710.105,2007.729,1474.076,0.267,0.767,-0.533,1.533,-61.301,0.139
9021.346,1660.969,-11834.062,953.622,542,6726,0.075,0.925,7268,-3166208,277504,-3443712,4323.495,2.183,7.429,1464235.645,2515.869,1879.734,0.3,0.733,-0.692,1.692,-58.117,0.133
9226.997,760.96,-10049.217,796.228,409,5162,0.073,0.927,5571,-2433536,209408,-2642944,3027.845,2.206,5.756,967879.905,1840.076,1501.388,0.267,0.767,-0.533,1.533,-76.44,0.175
8813.994,776.27,-10537.038,803.176,411,5392,0.071,0.929,5803,-2550272,210432,-2760704,3252.99,2.293,6.208,1029777.66,1965.225,1576.246,0.267,0.767,-0.533,1.533,-70.444,0.16
10371.356,1142.826,-10870.382,920.416,311,3673,0.078,0.922,3984,-1721344,159232,-1880576,2398.625,2.566,6.932,498028.03,1439.387,1190.615,0.233,0.8,-0.412,1.412,-66.093,0.153
9062.873,1089.018,-10895.49,903.338,277,3341,0.077,0.923,3618,-1568768,141824,-1710592,1887.55,1.742,6.011,343031.47,1092.457,801.724,0.267,0.767,-0.533,1.533,-71.656,0.165
9514.157,1258.482,-11403.042,901.316,551,6971,0.073,0.927,7522,-3287040,282112,-3569152,4469.57,2.866,7.14,1718609.385,2745.382,2241.823,0.3,0.733,-0.692,1.692,-61.283,0.14
8759.998,1078.355,-10754.09,892.343,427,5146,0.077,0.923,5573,-2416128,218624,-2634752,5000.04,4.091,10.204,1504207.695,3069.812,2458.383,0.267,0.767,-0.533,1.533,-42.964,0.099
9193.013,1349.813,-11093.333,872.654,542,6890,0.073,0.927,7432,-3250176,277504,-3527680,4563.19,2.388,7.175,1721616.36,2706.944,2105.528,0.267,0.767,-0.533,1.533,-59.881,0.137
8809.914,1116.778,-10313.143,839.442,423,5217,0.075,0.925,5640,-2454528,216576,-2671104,5470.605,4.422,10.581,1747036.445,3379.181,2857.473,0.3,0.733,-0.692,1.692,-41.91,0.096
9167.614,1224.473,-10480.235,840.821,560,6980,0.074,0.926,7540,-3287040,286720,-3573760,11886.395,8.466,17.429,5181721.365,7597.832,6507.629,0.3,0.733,-0.692,1.692,-24.599,0.056
9493.378,1251.497,-11056.432,845.646,550,7191,0.071,0.929,7741,-3400192,281600,-3681792,7657.74,2.758,11.498,2879416.295,4323.448,3061.279,0.3,0.733,-0.692,1.692,-37.799,0.086
10190.457,1277.963,-11221.873,860.354,531,6926,0.071,0.929,7457,-3274240,271872,-3546112,10234.675,5.389,16.194,3842090.295,6079.257,4682.605,0.267,0.767,-0.533,1.533,-26.961,0.061
8934.522,788.245,-10160.62,799.752,403,5120,0.073,0.927,5523,-2415104,206336,-2621440,3510.935,2.074,6.804,1059979.635,2054.224,1571.94,0.3,0.733,-0.692,1.692,-64.927,0.148
9006.556,1352.331,-10342.0,904.0,452,5171,0.08,0.92,5623,-2416128,231424,-2647552,2483.555,1.48,4.851,743587.715,1452.32,1102.233,0.3,0.733,-0.692,1.692,-90.441,0.21
8947.291,1415.046,-11038.118,846.306,562,7330,0.071,0.929,7892,-3465216,287744,-3752960,8316.745,3.827,12.231,3320714.465,4883.404,3665.224,0.3,0.733,-0.692,1.692,-35.52,0.081
10936.657,1086.781,-13758.171,724.114,495,9405,0.05,0.95,9900,-4561920,253440,-4815360,6491.18,1.994,9.273,2513931.785,3591.331,2415.96,0.3,0.733,-0.692,1.692,-47.988,0.104
10673.208,1139.354,-13906.099,737.399,494,9316,0.05,0.95,9810,-4516864,252928,-4769792,6904.205,1.509,10.064,2525920.08,3682.099,2333.812,0.3,0.733,-0.692,1.692,-44.666,0.097
11244.843,1045.135,-13674.789,719.726,492,9348,0.05,0.95,9840,-4534272,251904,-4786176,10653.385,4.915,15.219,4402764.5,6289.664,4697.833,0.267,0.767,-0.533,1.533,-29.052,0.063
10800.822,991.529,-13986.158,725.208,483,9315,0.049,0.951,9798,-4521984,247296,-4769280,5456.78,1.22,8.001,1973900.85,2894.283,1798.346,0.3,0.733,-0.692,1.692,-56.145,0.122
10884.96,579.125,-13707.77,673.839,458,9317,0.047,0.953,9775,-4535808,234496,-4770304,10072.375,4.139,14.472,4053424.575,5823.886,4116.548,0.267,0.767,-0.533,1.533,-30.557,0.066
11566.266,1201.458,-14402.514,776.508,502,9311,0.051,0.949,9813,-4510208,257024,-4767232,4553.195,1.356,6.878,1645462.095,2485.592,1627.79,0.3,0.733,-0.692,1.692,-64.815,0.141
9832.284,1415.722,-10332.623,959.354,371,4016,0.085,0.915,4387,-1866240,189952,-2056192,11661.45,14.343,29.374,2958268.175,7451.557,6496.095,0.267,0.767,-0.533,1.533,-12.511,0.029
11083.614,844.493,-13994.667,721.455,465,9020,0.049,0.951,9485,-4380160,238080,-4618240,18671.005,13.609,28.289,7858517.655,11906.845,10236.658,0.267,0.767,-0.533,1.533,-15.287,0.033
11241.227,955.922,-13602.476,708.585,483,9272,0.05,0.95,9755,-4499968,247296,-4747264,6464.04,2.546,9.261,2591906.27,3713.333,2621.117,0.267,0.767,-0.533,1.533,-47.744,0.103
10834.941,1010.552,-13853.425,717.977,488,9416,0.049,0.951,9904,-4571136,249856,-4820992,9231.32,3.04,13.263,3588330.74,5155.648,3446.044,0.233,0.8,-0.412,1.412,-33.485,0.073
12247.25,1329.033,-13835.942,746.356,500,9269,0.051,0.949,9769,-4489728,256000,-4745728,6348.12,2.95,9.254,2564894.225,3738.913,2842.28,0.3,0.733,-0.692,1.692,-47.215,0.103
11376.897,941.501,-13923.432,715.316,482,9382,0.049,0.951,9864,-4556800,246784,-4803584,4780.605,1.548,6.928,1831189.4,2653.898,1777.598,0.267,0.767,-0.533,1.533,-63.889,0.138
9562.084,1399.952,-10624.0,952.765,214,2407,0.082,0.918,2621,-1122816,109568,-1232384,6246.05,13.52,27.039,924769.565,4003.331,3473.519,0.267,0.767,-0.533,1.533,-13.364,0.031
10870.774,784.764,-13567.271,706.006,484,9301,0.049,0.951,9785,-4514304,247808,-4762112,4193.895,2.236,5.974,1637786.74,2333.03,2062.48,0.3,0.733,-0.692,1.692,-74.865,0.162
10791.044,818.302,-13685.701,690.023,469,9302,0.048,0.952,9771,-4522496,240128,-4762624,6623.015,1.951,9.516,2533483.89,3640.063,2372.685,0.3,0.733,-0.692,1.692,-47.199,0.102
10357.794,1076.09,-13674.361,715.92,488,9321,0.05,0.95,9809,-4522496,249856,-4772352,4744.0,1.174,6.797,1779578.25,2549.539,1624.015,0.267,0.767,-0.533,1.533,-65.963,0.143
10711.767,837.835,-13634.751,708.585,483,9294,0.049,0.951,9777,-4511232,247296,-4758528,8739.61,2.637,12.521,3369314.115,4827.098,3172.247,0.3,0.733,-0.692,1.692,-35.287,0.076
10677.378,662.938,-13764.809,688.092,465,9302,0.048,0.952,9767,-4524544,238080,-4762624,6127.545,1.576,8.855,2301810.16,3326.315,2191.443,0.267,0.767,-0.533,1.533,-50.796,0.11
11402.457,867.516,-13725.708,713.563,485,9356,0.049,0.951,9841,-4541952,248320,-4790272,6429.975,1.331,9.225,2385635.59,3422.72,2186.397,0.3,0.733,-0.692,1.692,-49.059,0.106
11287.2,863.794,-13894.157,716.501,480,9308,0.049,0.951,9788,-4519936,245760,-4765696,6212.705,2.039,9.056,2381347.71,3471.352,2354.743,0.3,0.733,-0.692,1.692,-49.337,0.107
7730.597,1460.987,-8138.904,1348.776,353,2146,0.141,0.859,2499,-918016,180736,-1098752,1556.71,4.634,5.787,266615.82,991.137,1368.974,0.3,0.733,-0.692,1.692,-70.402,0.192
7489.883,1440.717,-6585.379,1259.965,283,1492,0.159,0.841,1775,-619008,144896,-763904,2182.9,4.462,9.45,298051.335,1290.266,1269.738,0.267,0.767,-0.533,1.533,-40.088,0.115
9246.423,1591.172,-8696.686,1353.143,370,2378,0.135,0.865,2748,-1028096,189440,-1217536,1665.46,5.045,5.948,294963.16,1053.44,1553.518,0.267,0.767,-0.533,1.533,-69.087,0.185
10255.922,2467.408,-7972.571,1261.268,101,654,0.134,0.866,755,-283136,51712,-334848,964.45,6.923,11.62,53264.55,641.742,573.211,0.3,0.733,-0.692,1.692,-31.871,0.085
7629.604,1842.423,-7976.673,1368.523,286,1667,0.146,0.854,1953,-707072,146432,-853504,1280.095,4.051,5.982,170118.24,794.945,986.667,0.267,0.767,-0.533,1.533,-65.146,0.18
9428.004,3162.298,-9509.333,2000.0,375,1783,0.174,0.826,2158,-720896,192000,-912896,1627.095,5.766,8.474,205244.745,1068.983,1198.822,0.267,0.767,-0.533,1.533,-43.539,0.13
7826.114,3236.794,-7402.862,1616.593,341,1576,0.178,0.822,1917,-632320,174592,-806912,3000.27,6.005,13.826,397751.365,1832.956,1547.623,0.233,0.8,-0.412,1.412,-25.364,0.077
8394.771,2535.76,-8097.553,1734.835,349,1629,0.176,0.824,1978,-655360,178688,-834048,891.58,3.944,4.328,118379.675,574.659,876.869,0.3,0.733,-0.692,1.692,-87.332,0.264
8568.221,1593.207,-8377.806,1395.613,338,2029,0.143,0.857,2367,-865792,173056,-1038848,1298.31,3.564,5.235,199145.515,803.006,989.356,0.3,0.733,-0.692,1.692,-74.012,0.202
7844.565,2603.259,-7823.719,1630.316,363,1742,0.172,0.828,2105,-706048,185856,-891904,1276.66,4.718,5.599,180867.67,793.279,1178.604,0.267,0.767,-0.533,1.533,-61.196,0.182
7709.89,1917.817,-6787.282,1478.621,335,1551,0.178,0.822,1886,-622592,171520,-794112,2094.435,4.922,8.989,305926.08,1312.987,1322.238,0.3,0.733,-0.692,1.692,-39.708,0.12
7726.859,2024.707,-7362.37,1464.889,309,1553,0.166,0.834,1862,-636928,158208,-795136,860.775,3.84,3.985,121473.365,562.377,890.139,0.3,0.733,-0.692,1.692,-99.384,0.291
7632.92,1541.683,-7417.546,1410.169,325,1724,0.159,0.841,2049,-716288,166400,-882688,1324.735,4.196,5.59,195464.22,824.744,1104.539,0.3,0.733,-0.692,1.692,-69.95,0.2
9296.0,2336.643,-8124.768,1639.434,317,1571,0.168,0.832,1888,-642048,162304,-804352,969.415,4.066,4.896,121761.455,614.957,878.861,0.3,0.733,-0.692,1.692,-78.635,0.231
8201.103,2612.596,-8284.0,1515.843,376,2071,0.154,0.846,2447,-867840,192512,-1060352,1337.275,3.956,5.244,213010.065,835.334,1113.039,0.3,0.733,-0.692,1.692,-74.837,0.211
8243.065,1313.17,-6993.364,1344.0,336,1762,0.16,0.84,2098,-730112,172032,-902144,1333.815,3.942,5.19,212793.84,827.992,1125.252,0.267,0.767,-0.533,1.533,-76.126,0.219
8403.82,2099.622,-8145.455,1620.55,345,1750,0.165,0.835,2095,-719360,176640,-896000,1111.795,4.276,5.077,155199.755,708.675,1020.782,0.267,0.767,-0.533,1.533,-77.598,0.226
9418.105,1828.978,-7517.308,1478.038,306,1571,0.163,0.837,1877,-647680,156672,-804352,1099.38,4.36,5.161,148041.955,695.033,1017.83,0.267,0.767,-0.533,1.533,-76.51,0.222
8532.436,395.157,-8153.6,708.923,54,637,0.078,0.922,691,-298496,27648,-326144,380.02,12.113,4.81,24163.325,305.865,945.826,0.3,0.733,-0.692,1.692,-164.306,0.38
8378.787,1043.162,-7904.78,786.732,63,633,0.091,0.909,696,-291840,32256,-324096,288.955,7.478,3.524,16420.09,200.245,617.71,0.3,0.733,-0.692,1.692,-108.228,0.258
10250.32,793.638,-13431.467,738.763,518,9444,0.052,0.948,9962,-4570112,265216,-4835328,7480.945,3.9,10.405,3244687.825,4512.779,3336.458,0.267,0.767,-0.533,1.533,-42.487,0.093
9813.79,737.732,-12995.968,752.778,544,9417,0.055,0.945,9961,-4542976,278528,-4821504,4654.335,1.326,6.281,1913403.615,2582.191,1753.665,0.267,0.767,-0.533,1.533,-72.248,0.158
10431.941,1147.234,-14089.703,785.965,525,9439,0.053,0.947,9964,-4563968,268800,-4832768,4816.18,2.079,7.031,1915176.515,2795.878,1972.946,0.3,0.733,-0.692,1.692,-63.058,0.138
9267.829,799.084,-13566.562,762.952,529,9433,0.053,0.947,9962,-4558848,270848,-4829696,6324.57,2.081,8.895,2534901.06,3565.262,2463.32,0.267,0.767,-0.533,1.533,-50.369,0.11
10335.436,1230.58,-13067.794,756.87,544,9418,0.055,0.945,9962,-4543488,278528,-4822016,8182.22,4.206,11.102,3664979.115,4972.835,3943.426,0.3,0.733,-0.692,1.692,-39.182,0.086
10341.06,800.29,-13725.091,766.545,527,9436,0.053,0.947,9963,-4561408,269824,-4831232,4377.46,1.57,6.218,1754529.725,2492.23,1760.177,0.3,0.733,-0.692,1.692,-71.63,0.156
10879.564,1097.729,-13931.712,772.439,522,9442,0.052,0.948,9964,-4567040,267264,-4834304,6216.795,3.246,8.971,2596945.315,3747.396,2969.508,0.233,0.8,-0.412,1.412,-49.719,0.108
9571.621,769.533,-13627.854,743.412,514,9449,0.052,0.948,9963,-4574720,263168,-4837888,4797.785,1.665,6.767,1927586.335,2718.74,1897.999,0.267,0.767,-0.533,1.533,-66.621,0.145
10315.307,1112.816,-13101.913,761.722,546,9417,0.055,0.945,9963,-4541952,279552,-4821504,6440.41,2.847,8.762,2797847.815,3806.596,2815.139,0.3,0.733,-0.692,1.692,-50.69,0.111
10045.391,924.148,-12957.326,761.79,552,9389,0.056,0.944,9941,-4524544,282624,-4807168,6143.11,3.883,8.279,2892263.255,3897.929,3296.31,0.3,0.733,-0.692,1.692,-53.081,0.117
11387.164,834.815,-13493.631,757.244,528,9435,0.053,0.947,9963,-4560384,270336,-4830720,5246.9,1.339,7.338,2050576.405,2867.939,1899.532,0.267,0.767,-0.533,1.533,-61.633,0.135
9718.841,803.499,-13271.209,744.727,528,9435,0.053,0.947,9963,-4560384,270336,-4830720,3956.28,1.279,5.442,1616373.89,2223.348,1504.433,0.267,0.767,-0.533,1.533,-81.855,0.179
10628.171,741.767,-13272.615,743.317,527,9436,0.053,0.947,9963,-4561408,269824,-4831232,3702.88,1.111,5.093,1501023.22,2064.681,1408.975,0.3,0.733,-0.692,1.692,-88.778,0.194
10327.004,623.286,-12866.723,703.147,515,9449,0.052,0.948,9964,-4574208,263680,-4837888,5834.92,1.872,7.77,2474057.785,3294.351,2255.539,0.3,0.733,-0.692,1.692,-57.583,0.125
10458.331,991.483,-13521.389,769.438,535,9428,0.054,0.946,9963,-4553216,273920,-4827136,2474.63,1.051,3.471,1029616.915,1444.063,1061.136,0.3,0.733,-0.692,1.692,-129.303,0.283
10757.189,1309.721,-14258.973,792.237,523,9441,0.052,0.948,9964,-4566016,267776,-4833792,5120.995,1.668,7.564,1935816.605,2859.404,1941.302,0.3,0.733,-0.692,1.692,-59.298,0.129
10803.733,752.794,-13158.12,779.923,556,9406,0.056,0.944,9962,-4531200,284672,-4815872,3686.755,0.975,5.043,1478704.47,2022.852,1368.78,0.267,0.767,-0.533,1.533,-89.373,0.196
10138.866,761.201,-13288.088,726.391,515,9447,0.052,0.948,9962,-4573184,263680,-4836864,4268.09,1.371,5.871,1738858.985,2391.828,1610.709,0.3,0.733,-0.692,1.692,-75.95,0.165
10497.924,1107.035,-13856.368,807.724,549,9418,0.055,0.945,9967,-4540928,281088,-4822016,14864.875,9.935,21.358,6538446.49,9394.32,8208.403,0.2,0.833,-0.316,1.316,-20.575,0.045
12355.074,774.759,-13380.776,775.68,303,5253,0.055,0.945,5556,-2534400,155136,-2689536,2124.18,8.45,5.297,577252.66,1439.533,3474.463,0.267,0.767,-0.533,1.533,-97.036,0.213
8665.514,765.169,-8424.727,910.222,176,1629,0.098,0.902,1805,-743936,90112,-834048,1290.765,2.144,6.519,149861.245,756.875,565.026,0.3,0.733,-0.692,1.692,-64.812,0.157
9159.356,815.825,-9011.2,921.6,171,1672,0.093,0.907,1843,-768512,87552,-856064,1568.645,2.049,8.256,166850.855,878.162,603.243,0.267,0.767,-0.533,1.533,-50.529,0.121
9470.212,797.929,-8749.624,892.198,176,1726,0.093,0.907,1902,-793600,90112,-883712,1113.36,1.625,5.512,128999.945,638.614,455.436,0.233,0.8,-0.412,1.412,-76.835,0.184
8621.789,827.789,-9068.936,964.085,177,1665,0.096,0.904,1842,-761856,90624,-852480,1680.905,2.569,8.941,180764.91,961.515,678.637,0.3,0.733,-0.692,1.692,-45.699,0.11
7640.088,993.795,-8729.6,947.2,185,1705,0.098,0.902,1890,-778240,94720,-872960,1820.975,2.843,9.105,210515.945,1052.58,727.779,0.267,0.767,-0.533,1.533,-44.219,0.107
7580.433,1019.194,-9624.511,985.872,181,1767,0.093,0.907,1948,-812032,92672,-904704,1796.57,2.756,9.556,192230.415,1022.502,699.572,0.267,0.767,-0.533,1.533,-42.12,0.101
8510.41,946.165,-8598.433,955.381,181,1629,0.1,0.9,1810,-741376,92672,-834048,1323.975,2.006,6.825,147525.05,760.438,542.403,0.267,0.767,-0.533,1.533,-60.383,0.147
9028.592,903.855,-8880.172,1001.978,182,1613,0.101,0.899,1795,-732672,93184,-825856,1075.1,1.728,5.78,114170.635,613.821,429.326,0.3,0.733,-0.692,1.692,-69.672,0.171
7656.52,1086.417,-8762.062,997.608,189,1660,0.102,0.898,1849,-753152,96768,-849920,1424.595,4.367,7.343,167373.275,862.749,938.478,0.267,0.767,-0.533,1.533,-54.712,0.134
8586.502,931.805,-8772.619,923.711,175,1662,0.095,0.905,1837,-761344,89600,-850944,1809.4,2.788,9.327,202790.015,1045.309,760.407,0.267,0.767,-0.533,1.533,-45.035,0.109
7787.121,920.181,-8859.826,951.652,171,1592,0.097,0.903,1763,-727552,87552,-815104,2278.91,3.45,12.385,238783.815,1297.738,889.471,0.267,0.767,-0.533,1.533,-32.562,0.079
8200.406,1057.079,-8833.347,970.105,180,1639,0.099,0.901,1819,-747008,92160,-839168,1240.23,2.253,6.528,138609.195,729.522,523.779,0.3,0.733,-0.692,1.692,-62.071,0.151
8136.136,1024.653,-9290.667,986.667,185,1742,0.096,0.904,1927,-797184,94720,-891904,1010.01,1.712,5.26,112942.505,588.242,429.924,0.3,0.733,-0.692,1.692,-78.353,0.189
7801.794,922.571,-8753.021,953.191,175,1607,0.098,0.902,1782,-733184,89600,-822784,1345.425,2.262,7.157,146482.68,779.163,554.868,0.3,0.733,-0.692,1.692,-56.942,0.138
8586.338,711.547,-8221.825,899.728,181,1654,0.099,0.901,1835,-754176,92672,-846848,1296.2,1.852,6.292,152967.195,742.559,528.4,0.267,0.767,-0.533,1.533,-65.776,0.16
7631.212,752.483,-8376.32,921.6,180,1636,0.099,0.901,1816,-745472,92160,-837632,1992.175,3.4,9.961,234342.845,1171.714,840.814,0.3,0.733,-0.692,1.692,-41.268,0.101
8337.357,1054.579,-9272.889,1001.244,176,1630,0.097,0.903,1806,-744448,90112,-834560,1564.995,3.269,8.694,169239.985,940.222,703.03,0.267,0.767,-0.533,1.533,-46.671,0.113
8952.446,706.312,-8599.51,914.286,175,1646,0.096,0.904,1821,-753152,89600,-842752,1753.795,3.715,8.948,207204.68,1057.167,942.52,0.3,0.733,-0.692,1.692,-48.965,0.118
7624.606,1104.272,-9254.957,1035.13,186,1663,0.101,0.899,1849,-756224,95232,-851456,2070.44,3.544,11.252,220345.435,1197.53,838.019,0.3,0.733,-0.692,1.692,-35.401,0.087
10404.363,252.549,-10678.857,623.709,67,1168,0.054,0.946,1235,-563712,34304,-598016,741.86,12.466,6.683,60697.405,546.823,1386.891,0.3,0.733,-0.692,1.692,-95.925,0.21
9129.797,794.147,-12466.203,778.667,584,9374,0.059,0.941,9958,-4500480,299008,-4799488,3945.705,1.492,5.131,1761421.725,2290.535,1645.236,0.267,0.767,-0.533,1.533,-86.8,0.192
8578.592,960.616,-12385.333,883.634,661,9289,0.066,0.934,9950,-4417536,338432,-4755968,5922.37,2.238,7.721,2642288.74,3444.966,2517.921,0.3,0.733,-0.692,1.692,-56.254,0.127
10408.739,877.237,-13292.199,787.147,555,9398,0.056,0.944,9953,-4527616,284160,-4811776,5011.135,2.092,6.931,2118173.835,2929.701,2138.666,0.3,0.733,-0.692,1.692,-64.553,0.142
9783.75,909.489,-12264.308,835.299,633,9318,0.064,0.936,9951,-4446720,324096,-4770816,5106.935,1.813,6.573,2288778.495,2945.661,2101.855,0.3,0.733,-0.692,1.692,-67.501,0.151
9464.982,940.499,-13106.361,819.2,584,9369,0.059,0.941,9953,-4497920,299008,-4796928,6593.98,3.854,9.02,2993080.65,4094.502,3231.612,0.267,0.767,-0.533,1.533,-48.357,0.107
9527.624,1070.073,-12914.544,823.351,595,9358,0.06,0.94,9953,-4486656,304640,-4791296,5394.395,2.749,7.28,2424669.38,3272.158,2652.163,0.3,0.733,-0.692,1.692,-60.063,0.133
